Year,State,State Code,Population,Estimated
1600,Alabama,AL,,
1601,Alabama,AL,,
1602,Alabama,AL,,
1603,Alabama,AL,,
1604,Alabama,AL,,
1605,Alabama,AL,,
1606,Alabama,AL,,
1607,Alabama,AL,,
1608,Alabama,AL,,
1609,Alabama,AL,,
1610,Alabama,AL,,
1611,Alabama,AL,,
1612,Alabama,AL,,
1613,Alabama,AL,,
1614,Alabama,AL,,
1615,Alabama,AL,,
1616,Alabama,AL,,
1617,Alabama,AL,,
1618,Alabama,AL,,
1619,Alabama,AL,,
1620,Alabama,AL,,
1621,Alabama,AL,,
1622,Alabama,AL,,
1623,Alabama,AL,,
1624,Alabama,AL,,
1625,Alabama,AL,,
1626,Alabama,AL,,
1627,Alabama,AL,,
1628,Alabama,AL,,
1629,Alabama,AL,,
1630,Alabama,AL,,
1631,Alabama,AL,,
1632,Alabama,AL,,
1633,Alabama,AL,,
1634,Alabama,AL,,
1635,Alabama,AL,,
1636,Alabama,AL,,
1637,Alabama,AL,,
1638,Alabama,AL,,
1639,Alabama,AL,,
1640,Alabama,AL,,
1641,Alabama,AL,,
1642,Alabama,AL,,
1643,Alabama,AL,,
1644,Alabama,AL,,
1645,Alabama,AL,,
1646,Alabama,AL,,
1647,Alabama,AL,,
1648,Alabama,AL,,
1649,Alabama,AL,,
1650,Alabama,AL,,
1651,Alabama,AL,,
1652,Alabama,AL,,
1653,Alabama,AL,,
1654,Alabama,AL,,
1655,Alabama,AL,,
1656,Alabama,AL,,
1657,Alabama,AL,,
1658,Alabama,AL,,
1659,Alabama,AL,,
1660,Alabama,AL,,
1661,Alabama,AL,,
1662,Alabama,AL,,
1663,Alabama,AL,,
1664,Alabama,AL,,
1665,Alabama,AL,,
1666,Alabama,AL,,
1667,Alabama,AL,,
1668,Alabama,AL,,
1669,Alabama,AL,,
1670,Alabama,AL,,
1671,Alabama,AL,,
1672,Alabama,AL,,
1673,Alabama,AL,,
1674,Alabama,AL,,
1675,Alabama,AL,,
1676,Alabama,AL,,
1677,Alabama,AL,,
1678,Alabama,AL,,
1679,Alabama,AL,,
1680,Alabama,AL,,
1681,Alabama,AL,,
1682,Alabama,AL,,
1683,Alabama,AL,,
1684,Alabama,AL,,
1685,Alabama,AL,,
1686,Alabama,AL,,
1687,Alabama,AL,,
1688,Alabama,AL,,
1689,Alabama,AL,,
1690,Alabama,AL,,
1691,Alabama,AL,,
1692,Alabama,AL,,
1693,Alabama,AL,,
1694,Alabama,AL,,
1695,Alabama,AL,,
1696,Alabama,AL,,
1697,Alabama,AL,,
1698,Alabama,AL,,
1699,Alabama,AL,,
1700,Alabama,AL,,
1701,Alabama,AL,,
1702,Alabama,AL,,
1703,Alabama,AL,,
1704,Alabama,AL,,
1705,Alabama,AL,,
1706,Alabama,AL,,
1707,Alabama,AL,,
1708,Alabama,AL,,
1709,Alabama,AL,,
1710,Alabama,AL,,
1711,Alabama,AL,,
1712,Alabama,AL,,
1713,Alabama,AL,,
1714,Alabama,AL,,
1715,Alabama,AL,,
1716,Alabama,AL,,
1717,Alabama,AL,,
1718,Alabama,AL,,
1719,Alabama,AL,,
1720,Alabama,AL,,
1721,Alabama,AL,,
1722,Alabama,AL,,
1723,Alabama,AL,,
1724,Alabama,AL,,
1725,Alabama,AL,,
1726,Alabama,AL,,
1727,Alabama,AL,,
1728,Alabama,AL,,
1729,Alabama,AL,,
1730,Alabama,AL,,
1731,Alabama,AL,,
1732,Alabama,AL,,
1733,Alabama,AL,,
1734,Alabama,AL,,
1735,Alabama,AL,,
1736,Alabama,AL,,
1737,Alabama,AL,,
1738,Alabama,AL,,
1739,Alabama,AL,,
1740,Alabama,AL,,
1741,Alabama,AL,,
1742,Alabama,AL,,
1743,Alabama,AL,,
1744,Alabama,AL,,
1745,Alabama,AL,,
1746,Alabama,AL,,
1747,Alabama,AL,,
1748,Alabama,AL,,
1749,Alabama,AL,,
1750,Alabama,AL,,
1751,Alabama,AL,,
1752,Alabama,AL,,
1753,Alabama,AL,,
1754,Alabama,AL,,
1755,Alabama,AL,,
1756,Alabama,AL,,
1757,Alabama,AL,,
1758,Alabama,AL,,
1759,Alabama,AL,,
1760,Alabama,AL,,
1761,Alabama,AL,,
1762,Alabama,AL,,
1763,Alabama,AL,,
1764,Alabama,AL,,
1765,Alabama,AL,,
1766,Alabama,AL,,
1767,Alabama,AL,,
1768,Alabama,AL,,
1769,Alabama,AL,,
1770,Alabama,AL,,
1771,Alabama,AL,,
1772,Alabama,AL,,
1773,Alabama,AL,,
1774,Alabama,AL,,
1775,Alabama,AL,,
1776,Alabama,AL,,
1777,Alabama,AL,,
1778,Alabama,AL,,
1779,Alabama,AL,,
1780,Alabama,AL,,
1781,Alabama,AL,,
1782,Alabama,AL,,
1783,Alabama,AL,,
1784,Alabama,AL,,
1785,Alabama,AL,,
1786,Alabama,AL,,
1787,Alabama,AL,,
1788,Alabama,AL,,
1789,Alabama,AL,,
1790,Alabama,AL,184139,False
1791,Alabama,AL,186840,True
1792,Alabama,AL,189541,True
1793,Alabama,AL,192242,True
1794,Alabama,AL,194943,True
1795,Alabama,AL,197644,True
1796,Alabama,AL,200345,True
1797,Alabama,AL,203046,True
1798,Alabama,AL,205747,True
1799,Alabama,AL,208448,True
1800,Alabama,AL,211149,False
1801,Alabama,AL,214590,True
1802,Alabama,AL,218032,True
1803,Alabama,AL,221473,True
1804,Alabama,AL,224914,True
1805,Alabama,AL,228356,True
1806,Alabama,AL,231797,True
1807,Alabama,AL,235238,True
1808,Alabama,AL,238679,True
1809,Alabama,AL,242121,True
1810,Alabama,AL,245562,False
1811,Alabama,AL,221150,True
1812,Alabama,AL,196738,True
1813,Alabama,AL,172327,True
1814,Alabama,AL,147915,True
1815,Alabama,AL,123503,True
1816,Alabama,AL,99091,True
1817,Alabama,AL,74679,True
1818,Alabama,AL,50268,True
1819,Alabama,AL,25856,True
1820,Alabama,AL,1444,False
1821,Alabama,AL,1663,True
1822,Alabama,AL,1882,True
1823,Alabama,AL,2101,True
1824,Alabama,AL,2320,True
1825,Alabama,AL,2540,True
1826,Alabama,AL,2759,True
1827,Alabama,AL,2978,True
1828,Alabama,AL,3197,True
1829,Alabama,AL,3416,True
1830,Alabama,AL,3635,False
1831,Alabama,AL,6366,True
1832,Alabama,AL,9097,True
1833,Alabama,AL,11828,True
1834,Alabama,AL,14559,True
1835,Alabama,AL,17290,True
1836,Alabama,AL,20021,True
1837,Alabama,AL,22752,True
1838,Alabama,AL,25483,True
1839,Alabama,AL,28214,True
1840,Alabama,AL,30945,False
1841,Alabama,AL,58390,True
1842,Alabama,AL,85834,True
1843,Alabama,AL,113279,True
1844,Alabama,AL,140723,True
1845,Alabama,AL,168168,True
1846,Alabama,AL,195613,True
1847,Alabama,AL,223057,True
1848,Alabama,AL,250502,True
1849,Alabama,AL,277946,True
1850,Alabama,AL,305391,False
1851,Alabama,AL,352440,True
1852,Alabama,AL,399489,True
1853,Alabama,AL,446538,True
1854,Alabama,AL,493587,True
1855,Alabama,AL,540636,True
1856,Alabama,AL,587685,True
1857,Alabama,AL,634734,True
1858,Alabama,AL,681783,True
1859,Alabama,AL,728832,True
1860,Alabama,AL,775881,False
1861,Alabama,AL,699205,True
1862,Alabama,AL,622528,True
1863,Alabama,AL,545852,True
1864,Alabama,AL,469176,True
1865,Alabama,AL,392500,True
1866,Alabama,AL,315823,True
1867,Alabama,AL,239147,True
1868,Alabama,AL,162471,True
1869,Alabama,AL,85794,True
1870,Alabama,AL,9118,False
1871,Alabama,AL,10285,True
1872,Alabama,AL,11452,True
1873,Alabama,AL,12619,True
1874,Alabama,AL,13786,True
1875,Alabama,AL,14954,True
1876,Alabama,AL,16121,True
1877,Alabama,AL,17288,True
1878,Alabama,AL,18455,True
1879,Alabama,AL,19622,True
1880,Alabama,AL,20789,False
1881,Alabama,AL,24966,True
1882,Alabama,AL,29142,True
1883,Alabama,AL,33319,True
1884,Alabama,AL,37495,True
1885,Alabama,AL,41672,True
1886,Alabama,AL,45849,True
1887,Alabama,AL,50025,True
